0OTvJXmQPv7SKavoV6td75;One For The Road;45;206052;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.415;0.668;0;-6.849;1;0.036;0.212;0.0615;0.27;0.842;180.048;4
6xOGRfEr41CdiSc3ifLels;No. 1 Party Anthem;43;243132;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.505;0.698;0;-5.563;1;0.0297;0.33;0.0887;0.0966;0.599;115.013;4
6Slvi85s1hIaeykjvDe1xk;Perhaps Vampires Is A Bit Strong But…;56;268627;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-01-29;0.371;0.914;11;-4.917;0;0.081;0.000293;8.75e-05;0.0852;0.394;134.982;4
111SaDBbcHW0zedi4RBHDp;You Probably Couldn't See For The Lights But You Were Staring Straight At Me;56;130813;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-01-29;0.58;0.972;11;-4.274;0;0.0589;0.00384;0.0;0.296;0.926;105.492;4
7tQS3ubhSV2EenrYAAHTlq;The View From The Afternoon;51;222947;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-04-22;0.387;0.922;9;-5.192;0;0.0674;0.00487;0.0;0.187;0.417;146.478;4
1LSwssG5oIAMXYcvpOoPLC;Too Much To Ask;52;183253;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-07-08;0.724;0.757;9;-4.787;0;0.0274;0.00777;0.000154;0.215;0.878;109.98;4
45n7uujqwmMyBMjBu9SwRu;Pretty Visitors;55;220507;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.244;0.896;6;-5.576;0;0.464;0.0614;2.83e-05;0.127;0.142;83.354;4
3u16Clmxz7dJpnQWXXynok;Dance Little Liar;53;283493;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.538;0.607;1;-9.133;0;0.0352;0.0586;0.769;0.0975;0.543;100.158;4
0pdp3VrR4WQaswf0GyT0Y0;Dangerous Animals;53;210667;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.34;0.922;3;-5.189;1;0.18;0.0129;2.39e-06;0.226;0.532;125.363;4
0R194013qdfjeFiap76Nzs;Red Right Hand;51;259813;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-16;0.422;0.819;2;-7.698;1;0.051;0.000484;0.0412;0.185;0.598;139.784;4
4PDPn7HosIycoXeoeibFc5;The Jeweller's Hands;51;344053;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.51;0.8;0;-8.116;0;0.0488;0.137;0.0834;0.118;0.391;96.935;4
6EMhO2CuQZ3u7ZKDRuf560;Fire And The Thud;51;237533;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.566;0.61;2;-11.228;1;0.0388;0.165;0.006;0.215;0.406;114.904;4
3RHHXwyRtskFx87sX80xEy;Potion Approaching;50;212133;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.421;0.758;4;-8.945;0;0.0429;0.0062;0.0673;0.0905;0.767;103.659;4
49HYB8tppaxOsbBfeozPxu;Brick By Brick;57;179907;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.285;0.807;2;-4.741;1;0.0528;0.00123;0.00368;0.317;0.542;132.206;4
2fgQ8COnxtEvaTcNbEtsUf;That's Where You're Wrong;55;256800;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.481;0.883;4;-5.554;1;0.0638;0.000679;0.558;0.145;0.46;135.937;4
69GXaKmq1wdZ8zFedogQKg;One For The Road;57;206052;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-12-09;0.415;0.668;0;-6.849;1;0.036;0.212;0.0615;0.27;0.842;180.048;4
5N9WILhxABMfPnBI1ZZuuD;Da Frame 2R;52;142547;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-06-18;0.586;0.979;11;-6.387;0;0.0526;0.000604;0.000496;0.113;0.64;102.527;4
4mF8UHxjMoYz3cZkTU575d;Nettles;50;104987;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-12-02;0.377;0.912;11;-5.125;0;0.215;0.000182;0.0;0.078;0.455;111.012;3
2amJsWuU8ohAth78f2QOLD;The Bakery;50;176520;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-07-08;0.574;0.793;11;-6.059;0;0.0321;0.00814;0.00874;0.161;0.678;119.977;4
1bXLpqe49cqEpj88uPR4pu;Reckless Serenade;53;162747;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.585;0.694;2;-6.632;1;0.0392;0.00037;0.0144;0.0724;0.785;127.966;4
